Date,china_oecd_cli
2015-07-01,100.309888675311
2015-08-01,100.151417097154
2015-09-01,100.00850855935
2015-10-01,99.8935452150346
2015-11-01,99.7951808584187
2015-12-01,99.6977655690851
2016-01-01,99.6069240975522
2016-02-01,99.5438936091402
2016-03-01,99.5165865202885
2016-04-01,99.5204027865648
2016-05-01,99.5523810101437
2016-06-01,99.6192665192998
2016-07-01,99.7221656899844
2016-08-01,99.8492614914977
2016-09-01,99.9966809679533
2016-10-01,100.145197800381
2016-11-01,100.279761881567
2016-12-01,100.385567906095
2017-01-01,100.463159563655
2017-02-01,100.51663311429
2017-03-01,100.552077994969
2017-04-01,100.581791450981
2017-05-01,100.615983369873
2017-06-01,100.656491562561
2017-07-01,100.691420459058
2017-08-01,100.707057720118
2017-09-01,100.690871555211
2017-10-01,100.638482105877
2017-11-01,100.550368933593
2017-12-01,100.431987433586
2018-01-01,100.305009798463
2018-02-01,100.177929924802
2018-03-01,100.054544929123
2018-04-01,99.9243708352772
2018-05-01,99.7724054172508
2018-06-01,99.587365271674
2018-07-01,99.3740656720055
2018-08-01,99.1484086973944
2018-09-01,98.9259704293368
2018-10-01,98.7092286543447
2018-11-01,98.5122913140196
2018-12-01,98.3565990702154
2019-01-01,98.2739930127431
2019-02-01,98.275604044992
2019-03-01,98.3428698028844
2019-04-01,98.4410524240088
2019-05-01,98.5403441148863
2019-06-01,98.6312849108859
2019-07-01,98.6941004666531
2019-08-01,98.7182773158852
2019-09-01,98.7083341332546
2019-10-01,98.6816883381069
2019-11-01,98.6700111450788
2019-12-01,98.6951118674467
2020-01-01,96.298087969242
2020-02-01,88.1640240452859
2020-03-01,84.4465815373083
2020-04-01,89.8598121877174
2020-05-01,95.7108671045938
2020-06-01,98.768828348052
2020-07-01,99.7871074355005
2020-08-01,100.860775820671
2020-09-01,101.885702100616
2020-10-01,102.254582521838
2020-11-01,102.505322805609
2020-12-01,102.626738125821
2021-01-01,102.633222336415
2021-02-01,102.524760513206
2021-03-01,102.316068288645
2021-04-01,102.027192375579
2021-05-01,101.675862819283
2021-06-01,101.277946814142
2021-07-01,100.858149992974
2021-08-01,100.447192724964
2021-09-01,100.075354857381
2021-10-01,99.7606479390169
2021-11-01,99.4963505746367
2021-12-01,99.2582731128191
2022-01-01,99.0225681604739
2022-02-01,98.7770278900383
2022-03-01,98.5336034147467
2022-04-01,98.3170126215308
2022-05-01,98.1479396007633
2022-06-01,98.0403931564515
2022-07-01,97.9971321244187
2022-08-01,98.0395611574544
2022-09-01,98.1731624880477
2022-10-01,98.3959806998026
2022-11-01,98.7173352282782
2022-12-01,99.1328309043233
2023-01-01,99.6101804047846
2023-02-01,100.104199452936
2023-03-01,100.576223206381
2023-04-01,101.000860980774
2023-05-01,101.37342709633
2023-06-01,101.693816768754
2023-07-01,101.939473654598
2023-08-01,102.080684219214
2023-09-01,102.097716985284
2023-10-01,101.997123360229
2023-11-01,101.797782768203
2023-12-01,101.53216091513
2024-01-01,101.239478294466
2024-02-01,100.952248099496
2024-03-01,100.685521026931
2024-04-01,100.451354199672
2024-05-01,100.25604875254
2024-06-01,100.106116826633
2024-07-01,100.019400590852
2024-08-01,100.008263791677
2024-09-01,100.07767751525
2024-10-01,100.203905495058
2024-11-01,100.330695186189
2024-12-01,100.420634899533
2025-01-01,100.450181076218
2025-02-01,100.414594217393
2025-03-01,100.315794954745
2025-04-01,100.166683702632
2025-05-01,99.9934135207226
2025-06-01,99.8109916470598
2025-07-01,99.6229170696808
2025-08-01,99.4332001345623
2025-09-01,99.2421725779489
2025-10-01,99.0561240582983
2025-11-01,98.8920208917067
2025-12-01,98.7523204894263
2026-01-01,98.6372818833455
2026-02-01,98.5393676229696
